game_id,Date,Team,Position,Player,AB,R,H,RBI,2B,3B,HR,BB,SB,CS,HBP,SH,SF,SO,KL,GDP,PO,A
4,2/27/2021,Iowa,SS,"Guy, Avery",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,2/27/2021,Iowa,P,"    Shaw, Lauren",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2/27/2021,Iowa,P,"    Peterson, Maggie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2/27/2021,Michigan,LF,"Blair, Lexie",4,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0
4,2/27/2021,Michigan,3B,"Jimenez, Julia",4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
4,2/27/2021,Michigan,1B,"Bump, Taylor",3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,2/27/2021,Michigan,DP/P,"Dennis, Chandler",3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4,2/27/2021,Michigan,2B,"Kersten, Sierra",3,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0
4,2/27/2021,Michigan,C,"Tholl, Keke",3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,11,0
4,2/27/2021,Michigan,PR,"    Rodriguez, Kaylee",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2/27/2021,Michigan,CF,"Hoogenraad, Haley",3,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
4,2/27/2021,Michigan,RF,"Voss, Lexi",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
4,2/27/2021,Michigan,PH,"    LeClair, Audrey",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,2/27/2021,Michigan,RF,"    Gonzalez, Thais",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2/27/2021,Michigan,SS,"Rodriguez, Natalia",2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,2/27/2021,Michigan,P,"Storako, Alex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2/28/2021,Illinois,2B,Avrey Steiner,4,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1
5,2/28/2021,Illinois,RF,Kailee Powell,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5,2/28/2021,Illinois,3B,Delaney Rummell,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
5,2/28/2021,Illinois,C,Bella Loya,2,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,9,2
5,2/28/2021,Illinois,PR,    Gabi Robles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2/28/2021,Illinois,1B,Maddison Demers,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0
5,2/28/2021,Illinois,LF,Kelly Ryono,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
5,2/28/2021,Illinois,SS,Katie Wingerter,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0
5,2/28/2021,Illinois,DP,Shelby Stauffenberg,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
5,2/28/2021,Illinois,CF,Jaelyn Vickery,3,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
5,2/28/2021,Illinois,P,Sydney Sickels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5,2/28/2021,Michigan,LF,"Blair, Lexie",3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,2/28/2021,Michigan,3B,"Jimenez, Julia",3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
